رقم_الطلب,تاريخ_التقديم,تاريخ_الإغلاق,الحي,نوع_الخدمة,التصنيف,قناة_التقديم,الحالة,مدة_المعالجة_أيام,تقييم_الرضا,موسم_ذروة
MKC-2024935,2023-03-26,2023-04-05,الشوقية,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مرفوض,10.0,,نعم
MKC-2025863,2023-03-26,2023-04-03,العتيبية,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مرفوض,8.0,,نعم
MKC-2023582,2023-03-26,2023-05-07,النسيم,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مرفوض,42.0,,نعم
MKC-2024277,2023-03-26,2023-04-10,جرول,شكوى إنارة شوارع,شكوى,تطبيق بلدي,مقبول ومنفذ,15.0,5.0,نعم
MKC-2023128,2023-03-26,2023-04-03,الشرائع,شكوى نظافة عامة,شكوى,المركز الموحد 940,محول لجهة أخرى,8.0,,نعم
MKC-2023724,2023-03-26,2023-04-11,الشرائع,شكوى إنارة شوارع,شكوى,تطبيق بلدي,مغلق - تم الحل,16.0,3.0,نعم
MKC-2028220,2023-03-26,2023-04-02,العزيزية,شكوى نظافة عامة,شكوى,المركز الموحد 940,مغلق - تم الحل,7.0,4.0,نعم
MKC-2028223,2023-03-26,2023-04-15,أجياد,ترخيص تجاري,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,20.0,4.0,نعم
MKC-2026343,2023-03-26,2023-03-28,الشوقية,شكوى صرف صحي,شكوى,تطبيق بلدي,مقبول ومنفذ,2.0,4.0,نعم
MKC-2028714,2023-03-26,2023-04-14,العزيزية,ترخيص لافتات إعلانية,طلب ترخيص,حساب X (تويتر),مقبول ومنفذ,19.0,4.0,نعم
MKC-2025209,2023-03-26,,الشوقية,شكوى مركبات مهملة,شكوى,تطبيق بلدي,قيد المعالجة,,,نعم
MKC-2025781,2023-03-26,,الششة,ترخيص تجاري,طلب ترخيص,حساب X (تويتر),قيد المعالجة,,,نعم
MKC-2028911,2023-03-26,2023-03-30,الشوقية,تجديد رخصة تجارية,طلب ترخيص,مكتب خدمة العملاء,محول لجهة أخرى,4.0,,نعم
MKC-2027199,2023-03-26,2023-05-07,النوارية,شكوى مخالفة بناء,شكوى,حساب X (تويتر),مقبول ومنفذ,42.0,2.0,نعم
MKC-2028248,2023-03-26,2023-04-08,النوارية,ترخيص لافتات إعلانية,طلب ترخيص,تطبيق بلدي,مرفوض,13.0,,نعم
MKC-2027186,2023-03-26,2023-03-28,الهجرة,شكوى باعة متجولين,شكوى,حساب X (تويتر),مغلق - تم الحل,2.0,3.0,نعم
MKC-2023864,2023-03-26,2023-04-06,الشوقية,شكوى إنارة شوارع,شكوى,تطبيق بلدي,محول لجهة أخرى,11.0,,نعم
MKC-2025415,2023-03-27,2023-04-04,الشوقية,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,8.0,3.0,نعم
MKC-2025658,2023-03-27,2023-04-09,بطحاء قريش,تجديد رخصة تجارية,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,13.0,5.0,نعم
MKC-2027202,2023-03-27,2023-04-15,العزيزية,شكوى صرف صحي,شكوى,حساب X (تويتر),مغلق - تم الحل,19.0,4.0,نعم
MKC-2024251,2023-03-27,2023-05-06,الهجرة,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,40.0,4.0,نعم
MKC-2028237,2023-03-27,2023-04-11,الهجرة,شكوى إشغال طريق,شكوى,تطبيق بلدي,قيد المعالجة,15.0,,نعم
MKC-2027493,2023-03-27,2023-04-03,الزاهر,شكوى مخالفة بناء,شكوى,مكتب فرعي بالحي,محول لجهة أخرى,7.0,,نعم
MKC-2025482,2023-03-27,2023-04-02,العزيزية,شكوى نظافة عامة,شكوى,تطبيق بلدي,مرفوض,6.0,,نعم
MKC-2026958,2023-03-27,2023-04-07,الرصيفة,شكوى إشغال طريق,شكوى,تطبيق بلدي,مقبول ومنفذ,11.0,5.0,نعم
MKC-2027608,2023-03-27,2023-05-23,العزيزية,ترخيص بناء,طلب ترخيص,المركز الموحد 940,مرفوض,57.0,,نعم
MKC-2023408,2023-03-27,2023-04-21,الشوقية,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,25.0,5.0,نعم
MKC-2023257,2023-03-27,2023-05-09,الششة,شكوى مخالفة بناء,شكوى,مكتب خدمة العملاء,مرفوض,43.0,,نعم
MKC-2026279,2023-03-27,2023-04-26,الهجرة,ترخيص بناء,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,30.0,4.0,نعم
MKC-2028462,2023-03-27,2023-04-01,الرصيفة,شكوى باعة متجولين,شكوى,تطبيق بلدي,مغلق - تم الحل,5.0,5.0,نعم
MKC-2027657,2023-03-27,2023-03-29,الششة,شكوى باعة متجولين,شكوى,مكتب فرعي بالحي,مغلق - تم الحل,2.0,4.0,نعم
MKC-2023160,2023-03-27,2023-04-07,المسفلة,ترخيص لافتات إعلانية,طلب ترخيص,مكتب فرعي بالحي,مقبول ومنفذ,11.0,4.0,نعم
MKC-2028691,2023-03-27,2023-04-19,بطحاء قريش,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,23.0,4.0,نعم
MKC-2023229,2023-03-27,2023-04-05,جرول,شكوى إنارة شوارع,شكوى,حساب X (تويتر),مقبول ومنفذ,9.0,3.0,نعم
MKC-2024472,2023-03-27,2023-04-10,النسيم,شكوى مخالفة بناء,شكوى,تطبيق بلدي,محول لجهة أخرى,14.0,,نعم
MKC-2026630,2023-03-27,2023-04-19,جرول,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,23.0,5.0,نعم
MKC-2026526,2023-03-28,2023-04-09,العزيزية,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,محول لجهة أخرى,12.0,,نعم
MKC-2026522,2023-03-28,2023-04-27,بطحاء قريش,طلب صيانة حديقة/ملعب,طلب صيانة,تطبيق بلدي,مقبول ومنفذ,30.0,4.0,نعم
MKC-2025021,2023-03-28,2023-05-16,النسيم,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,49.0,3.0,نعم
MKC-2023154,2023-03-28,2023-05-15,الجميزة,ترخيص تجاري,طلب ترخيص,مكتب فرعي بالحي,مقبول ومنفذ,48.0,3.0,نعم
MKC-2026397,2023-03-28,,العتيبية,ترخيص بناء,طلب ترخيص,المركز الموحد 940,قيد المعالجة,,,نعم
MKC-2026208,2023-03-28,2023-04-07,النوارية,شكوى نظافة عامة,شكوى,مكتب فرعي بالحي,مغلق - تم الحل,10.0,4.0,نعم
MKC-2027624,2023-03-28,2023-04-17,العزيزية,شكوى صرف صحي,شكوى,تطبيق بلدي,مغلق - تم الحل,20.0,5.0,نعم
MKC-2023635,2023-03-28,2023-04-16,الرصيفة,شكوى إنارة شوارع,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,19.0,4.0,نعم
MKC-2027886,2023-03-28,2023-04-14,الششة,شكوى صرف صحي,شكوى,تطبيق بلدي,مغلق - تم الحل,17.0,3.0,نعم
MKC-2027444,2023-03-28,2023-04-07,العزيزية,تجديد رخصة تجارية,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,10.0,4.0,نعم
MKC-2023403,2023-03-28,2023-04-06,الرصيفة,شكوى إنارة شوارع,شكوى,تطبيق بلدي,مغلق - تم الحل,9.0,4.0,نعم
MKC-2025118,2023-03-28,2023-04-05,العزيزية,شكوى نظافة عامة,شكوى,حساب X (تويتر),مقبول ومنفذ,8.0,3.0,نعم
MKC-2028461,2023-03-28,2023-04-05,العتيبية,شكوى إشغال طريق,شكوى,تطبيق بلدي,محول لجهة أخرى,8.0,,نعم
MKC-2028990,2023-03-28,2023-04-03,الششة,شكوى نظافة عامة,شكوى,المركز الموحد 940,محول لجهة أخرى,6.0,,نعم
MKC-2024516,2023-03-28,2023-04-11,النوارية,شكوى إنارة شوارع,شكوى,المركز الموحد 940,مغلق - تم الحل,14.0,4.0,نعم
MKC-2023768,2023-03-28,2023-03-31,الشوقية,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,3.0,5.0,نعم
MKC-2024574,2023-03-28,2023-05-16,النوارية,ترخيص بناء,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,49.0,4.0,نعم
MKC-2025888,2023-03-28,2023-04-11,العتيبية,شكوى مركبات مهملة,شكوى,مكتب خدمة العملاء,محول لجهة أخرى,14.0,,نعم
MKC-2023907,2023-03-28,2023-04-18,المسفلة,شكوى صرف صحي,شكوى,تطبيق بلدي,مغلق - تم الحل,21.0,4.0,نعم
MKC-2023239,2023-03-28,2023-05-05,الشرائع,ترخيص تجاري,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,38.0,1.0,نعم
MKC-2028514,2023-03-28,2023-04-13,الرصيفة,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,16.0,5.0,نعم
MKC-2026007,2023-03-28,2023-04-27,العتيبية,شكوى مخالفة بناء,شكوى,مكتب خدمة العملاء,محول لجهة أخرى,30.0,,نعم
MKC-2027749,2023-03-28,2023-05-21,أجياد,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,54.0,3.0,نعم
MKC-2028634,2023-03-29,2023-04-14,الشوقية,شكوى إشغال طريق,شكوى,تطبيق بلدي,مغلق - تم الحل,16.0,4.0,نعم
MKC-2024121,2023-03-29,2023-04-19,الزاهر,شكوى صرف صحي,شكوى,مكتب خدمة العملاء,مرفوض,21.0,,نعم
MKC-2026872,2023-03-29,,الزاهر,ترخيص بناء,طلب ترخيص,حساب X (تويتر),قيد المعالجة,,,نعم
MKC-2027213,2023-03-29,2023-04-14,الكعكية,شكوى صرف صحي,شكوى,مكتب خدمة العملاء,مرفوض,16.0,,نعم
MKC-2023732,2023-03-29,2023-04-15,الزاهر,شكوى صرف صحي,شكوى,تطبيق بلدي,مغلق - تم الحل,17.0,4.0,نعم
MKC-2028285,2023-03-29,2023-05-07,الشرائع,طلب صيانة حديقة/ملعب,طلب صيانة,تطبيق بلدي,مقبول ومنفذ,39.0,5.0,نعم
MKC-2025488,2023-03-29,2023-06-14,العزيزية,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,77.0,2.0,نعم
MKC-2023741,2023-03-29,2023-04-13,النوارية,شكوى إنارة شوارع,شكوى,حساب X (تويتر),مرفوض,15.0,,نعم
MKC-2026231,2023-03-29,2023-04-03,العزيزية,شكوى صرف صحي,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,5.0,4.0,نعم
MKC-2028502,2023-03-29,2023-04-07,الكعكية,تجديد رخصة تجارية,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,9.0,4.0,نعم
MKC-2027676,2023-03-29,2023-04-05,الششة,شكوى باعة متجولين,شكوى,مكتب فرعي بالحي,مغلق - تم الحل,7.0,3.0,نعم
MKC-2027487,2023-03-29,2023-04-29,العزيزية,ترخيص تجاري,طلب ترخيص,مكتب خدمة العملاء,قيد المعالجة,31.0,,نعم
MKC-2027514,2023-03-30,2023-04-14,الزاهر,ترخيص لافتات إعلانية,طلب ترخيص,المركز الموحد 940,مغلق - تم الحل,15.0,3.0,نعم
MKC-2026548,2023-03-30,2023-04-07,جرول,شكوى باعة متجولين,شكوى,المركز الموحد 940,مغلق - تم الحل,8.0,4.0,نعم
MKC-2025216,2023-03-30,2023-04-03,الهجرة,شكوى نظافة عامة,شكوى,تطبيق بلدي,محول لجهة أخرى,4.0,,نعم
MKC-2024106,2023-03-30,,النوارية,شكوى إنارة شوارع,شكوى,المركز الموحد 940,قيد المعالجة,,,نعم
MKC-2023059,2023-03-30,2023-04-07,العزيزية,شكوى باعة متجولين,شكوى,المركز الموحد 940,مغلق - تم الحل,8.0,3.0,نعم
MKC-2023268,2023-03-30,2023-04-06,الشوقية,شكوى إشغال طريق,شكوى,مكتب خدمة العملاء,مقبول ومنفذ,7.0,3.0,نعم
MKC-2025004,2023-03-30,2023-04-08,بطحاء قريش,شكوى إشغال طريق,شكوى,حساب X (تويتر),مغلق - تم الحل,9.0,4.0,نعم
MKC-2027865,2023-03-30,2023-05-01,الزاهر,ترخيص تجاري,طلب ترخيص,حساب X (تويتر),مقبول ومنفذ,32.0,5.0,نعم
MKC-2026244,2023-03-30,2023-05-04,بطحاء قريش,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مرفوض,35.0,,نعم
MKC-2023509,2023-03-30,2023-05-06,النوارية,ترخيص بناء,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,37.0,4.0,نعم
MKC-2023607,2023-03-30,2023-04-04,الشوقية,تجديد رخصة تجارية,طلب ترخيص,مكتب خدمة العملاء,مرفوض,5.0,,نعم
MKC-2028793,2023-03-30,2023-05-27,النوارية,ترخيص بناء,طلب ترخيص,حساب X (تويتر),مرفوض,58.0,,نعم
MKC-2026081,2023-03-30,2023-04-01,بطحاء قريش,شكوى إنارة شوارع,شكوى,مكتب فرعي بالحي,مغلق - تم الحل,2.0,4.0,نعم
MKC-2024252,2023-03-30,2023-04-08,العزيزية,شكوى مركبات مهملة,شكوى,حساب X (تويتر),مقبول ومنفذ,9.0,3.0,نعم
MKC-2025190,2023-03-30,2023-05-06,الكعكية,طلب صيانة حديقة/ملعب,طلب صيانة,تطبيق بلدي,مقبول ومنفذ,37.0,3.0,نعم
MKC-2026351,2023-03-30,2023-04-10,الكعكية,شكوى إنارة شوارع,شكوى,تطبيق بلدي,مقبول ومنفذ,11.0,5.0,نعم
MKC-2027371,2023-03-31,2023-04-10,العزيزية,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مرفوض,10.0,,نعم
MKC-2024181,2023-03-31,2023-04-25,الشرائع,شكوى مركبات مهملة,شكوى,المركز الموحد 940,محول لجهة أخرى,25.0,,نعم
MKC-2025874,2023-03-31,2023-04-05,الهجرة,شكوى باعة متجولين,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,5.0,4.0,نعم
MKC-2025780,2023-03-31,2023-04-05,الشوقية,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مرفوض,5.0,,نعم
MKC-2025200,2023-03-31,2023-04-08,أجياد,شكوى إشغال طريق,شكوى,تطبيق بلدي,محول لجهة أخرى,8.0,,نعم
MKC-2027365,2023-03-31,2023-04-08,النسيم,ترخيص تجاري,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,8.0,3.0,نعم
MKC-2028114,2023-03-31,2023-04-10,العتيبية,شكوى إشغال طريق,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,10.0,4.0,نعم
MKC-2024349,2023-03-31,2023-04-16,العزيزية,شكوى صرف صحي,شكوى,المركز الموحد 940,مغلق - تم الحل,16.0,2.0,نعم
MKC-2028896,2023-03-31,2023-04-08,العتيبية,شكوى نظافة عامة,شكوى,حساب X (تويتر),محول لجهة أخرى,8.0,,نعم
MKC-2027196,2023-03-31,2023-05-08,العتيبية,ترخيص بناء,طلب ترخيص,المركز الموحد 940,محول لجهة أخرى,38.0,,نعم
MKC-2024392,2023-03-31,2023-04-28,أجياد,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مغلق - تم الحل,28.0,3.0,نعم
MKC-2023388,2023-03-31,2023-04-02,الرصيفة,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,2.0,5.0,نعم
MKC-2027064,2023-03-31,2023-04-12,الرصيفة,ترخيص تجاري,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,12.0,5.0,نعم
MKC-2024684,2023-03-31,2023-04-04,الجميزة,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,4.0,5.0,نعم
MKC-2023972,2023-03-31,2023-04-06,النسيم,شكوى إشغال طريق,شكوى,مكتب فرعي بالحي,مرفوض,6.0,,نعم
MKC-2023362,2023-03-31,2023-04-18,الزاهر,شكوى إشغال طريق,شكوى,تطبيق بلدي,مغلق - تم الحل,18.0,4.0,نعم
MKC-2025804,2023-03-31,2023-04-08,الجميزة,شكوى نظافة عامة,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,8.0,3.0,نعم
MKC-2023098,2023-03-31,2023-04-07,المسفلة,شكوى إشغال طريق,شكوى,المركز الموحد 940,محول لجهة أخرى,7.0,,نعم
MKC-2023472,2023-03-31,2023-04-10,المسفلة,شكوى نظافة عامة,شكوى,المركز الموحد 940,محول لجهة أخرى,10.0,,نعم
MKC-2024764,2023-04-01,2023-04-25,الزاهر,شكوى مخالفة بناء,شكوى,المركز الموحد 940,مغلق - تم الحل,24.0,5.0,نعم
MKC-2024254,2023-04-01,2023-04-25,النسيم,شكوى مركبات مهملة,شكوى,حساب X (تويتر),مغلق - تم الحل,24.0,2.0,نعم
MKC-2026873,2023-04-01,2023-04-14,العتيبية,شكوى صرف صحي,شكوى,تطبيق بلدي,محول لجهة أخرى,13.0,,نعم
MKC-2023361,2023-04-01,2023-04-03,الشرائع,شكوى إشغال طريق,شكوى,تطبيق بلدي,مقبول ومنفذ,2.0,4.0,نعم
MKC-2027910,2023-04-01,2023-04-05,العتيبية,شكوى نظافة عامة,شكوى,حساب X (تويتر),مغلق - تم الحل,4.0,5.0,نعم
MKC-2023524,2023-04-01,2023-04-03,العزيزية,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,2.0,5.0,نعم
MKC-2023208,2023-04-01,2023-04-12,الشرائع,شكوى إشغال طريق,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,11.0,5.0,نعم
MKC-2023391,2023-04-01,2023-04-24,النوارية,ترخيص بناء,طلب ترخيص,تطبيق بلدي,مغلق - تم الحل,23.0,4.0,نعم
MKC-2025512,2023-04-01,2023-04-28,النسيم,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,27.0,5.0,نعم
MKC-2023937,2023-04-01,2023-04-14,أجياد,شكوى مركبات مهملة,شكوى,المركز الموحد 940,مرفوض,13.0,,نعم
MKC-2028872,2023-04-01,2023-04-07,الرصيفة,شكوى نظافة عامة,شكوى,المركز الموحد 940,مغلق - تم الحل,6.0,3.0,نعم
MKC-2027907,2023-04-01,2023-04-13,الشرائع,شكوى صرف صحي,شكوى,مكتب فرعي بالحي,مغلق - تم الحل,12.0,5.0,نعم
MKC-2027513,2023-04-01,2023-04-12,الشرائع,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,11.0,3.0,نعم
MKC-2028053,2023-04-01,2023-04-06,الشرائع,شكوى باعة متجولين,شكوى,تطبيق بلدي,مغلق - تم الحل,5.0,4.0,نعم
MKC-2025593,2023-04-02,2023-04-04,العزيزية,شكوى نظافة عامة,شكوى,المركز الموحد 940,مغلق - تم الحل,2.0,5.0,نعم
MKC-2027838,2023-04-02,2023-04-13,الكعكية,شكوى إنارة شوارع,شكوى,تطبيق بلدي,مغلق - تم الحل,11.0,4.0,نعم
MKC-2023436,2023-04-02,2023-05-18,العتيبية,طلب صيانة حديقة/ملعب,طلب صيانة,تطبيق بلدي,مقبول ومنفذ,46.0,3.0,نعم
MKC-2027034,2023-04-02,2023-04-04,النوارية,شكوى إشغال طريق,شكوى,مكتب فرعي بالحي,مغلق - تم الحل,2.0,5.0,نعم
MKC-2028168,2023-04-02,2023-04-22,الرصيفة,شكوى مخالفة بناء,شكوى,مكتب خدمة العملاء,محول لجهة أخرى,20.0,,نعم
MKC-2027653,2023-04-02,2023-04-14,الششة,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,12.0,5.0,نعم
MKC-2025578,2023-04-02,2023-04-09,النوارية,شكوى باعة متجولين,شكوى,تطبيق بلدي,مغلق - تم الحل,7.0,4.0,نعم
MKC-2023217,2023-04-02,,النوارية,شكوى إشغال طريق,شكوى,حساب X (تويتر),قيد المعالجة,,,نعم
MKC-2026153,2023-04-02,2023-05-13,أجياد,شكوى مخالفة بناء,شكوى,تطبيق بلدي,مغلق - تم الحل,41.0,4.0,نعم
MKC-2025420,2023-04-02,2023-04-11,الشرائع,شكوى إشغال طريق,شكوى,تطبيق بلدي,محول لجهة أخرى,9.0,,نعم
MKC-2027341,2023-04-02,2023-04-13,الهجرة,شكوى إنارة شوارع,شكوى,المركز الموحد 940,محول لجهة أخرى,11.0,,نعم
MKC-2028192,2023-04-02,,الكعكية,شكوى نظافة عامة,شكوى,تطبيق بلدي,قيد المعالجة,,,نعم
MKC-2025865,2023-04-02,2023-04-20,النوارية,طلب صيانة حديقة/ملعب,طلب صيانة,المركز الموحد 940,مقبول ومنفذ,18.0,3.0,نعم
MKC-2023192,2023-04-02,2023-04-14,العزيزية,ترخيص لافتات إعلانية,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,12.0,4.0,نعم
MKC-2028696,2023-04-02,2023-05-08,الكعكية,ترخيص بناء,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,36.0,4.0,نعم
MKC-2025098,2023-04-02,2023-04-20,الزاهر,ترخيص لافتات إعلانية,طلب ترخيص,مكتب فرعي بالحي,مقبول ومنفذ,18.0,4.0,نعم
MKC-2023618,2023-04-02,2023-04-14,العزيزية,شكوى نظافة عامة,شكوى,تطبيق بلدي,محول لجهة أخرى,12.0,,نعم
MKC-2025398,2023-04-02,,الرصيفة,ترخيص تجاري,طلب ترخيص,حساب X (تويتر),قيد المعالجة,,,نعم
MKC-2028219,2023-04-02,2023-04-05,أجياد,شكوى نظافة عامة,شكوى,المركز الموحد 940,مغلق - تم الحل,3.0,4.0,نعم
MKC-2023963,2023-04-03,2023-04-11,الزاهر,شكوى باعة متجولين,شكوى,تطبيق بلدي,مغلق - تم الحل,8.0,5.0,نعم
MKC-2027340,2023-04-03,2023-04-12,بطحاء قريش,شكوى إشغال طريق,شكوى,المركز الموحد 940,مغلق - تم الحل,9.0,3.0,نعم
MKC-2027853,2023-04-03,,الرصيفة,ترخيص بناء,طلب ترخيص,مكتب خدمة العملاء,قيد المعالجة,,,نعم
MKC-2025265,2023-04-03,2023-04-06,العزيزية,شكوى صرف صحي,شكوى,مكتب فرعي بالحي,مغلق - تم الحل,3.0,4.0,نعم
MKC-2024531,2023-04-03,2023-04-19,العزيزية,شكوى إشغال طريق,شكوى,تطبيق بلدي,مغلق - تم الحل,16.0,4.0,نعم
MKC-2024414,2023-04-03,2023-04-10,الحجون,شكوى باعة متجولين,شكوى,تطبيق بلدي,مقبول ومنفذ,7.0,4.0,نعم
MKC-2023814,2023-04-03,2023-04-13,الكعكية,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,محول لجهة أخرى,10.0,,نعم
MKC-2024039,2023-04-03,2023-04-10,الهجرة,شكوى باعة متجولين,شكوى,تطبيق بلدي,مغلق - تم الحل,7.0,5.0,نعم
MKC-2025889,2023-04-03,2023-04-29,الششة,شكوى مخالفة بناء,شكوى,تطبيق بلدي,محول لجهة أخرى,26.0,,نعم
MKC-2023804,2023-04-03,,العزيزية,شكوى صرف صحي,شكوى,مكتب خدمة العملاء,قيد المعالجة,,,نعم
MKC-2024886,2023-04-03,2023-04-05,العتيبية,شكوى باعة متجولين,شكوى,المركز الموحد 940,مغلق - تم الحل,2.0,4.0,نعم
MKC-2027181,2023-04-03,2023-04-23,الرصيفة,طلب صيانة حديقة/ملعب,طلب صيانة,تطبيق بلدي,مقبول ومنفذ,20.0,3.0,نعم
MKC-2027652,2023-04-03,2023-04-14,الهجرة,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مرفوض,11.0,,نعم
MKC-2028162,2023-04-03,2023-04-11,الششة,شكوى نظافة عامة,شكوى,المركز الموحد 940,محول لجهة أخرى,8.0,,نعم
MKC-2027305,2023-04-03,2023-05-02,الششة,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مرفوض,29.0,,نعم
MKC-2024274,2023-04-04,2023-05-05,الزاهر,شكوى مخالفة بناء,شكوى,تطبيق بلدي,محول لجهة أخرى,31.0,,نعم
MKC-2028663,2023-04-04,2023-04-19,الشرائع,شكوى إنارة شوارع,شكوى,المركز الموحد 940,مغلق - تم الحل,15.0,4.0,نعم
MKC-2026494,2023-04-04,2023-04-15,الرصيفة,شكوى إشغال طريق,شكوى,تطبيق بلدي,مغلق - تم الحل,11.0,4.0,نعم
MKC-2024002,2023-04-04,2023-04-16,جرول,تجديد رخصة تجارية,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,12.0,4.0,نعم
MKC-2028475,2023-04-04,2023-04-30,الزاهر,طلب صيانة حديقة/ملعب,طلب صيانة,تطبيق بلدي,مقبول ومنفذ,26.0,3.0,نعم
MKC-2026127,2023-04-04,2023-04-24,الششة,شكوى مركبات مهملة,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,20.0,2.0,نعم
MKC-2027504,2023-04-04,,الكعكية,شكوى إشغال طريق,شكوى,تطبيق بلدي,قيد المعالجة,,,نعم
MKC-2026667,2023-04-04,,العزيزية,شكوى نظافة عامة,شكوى,المركز الموحد 940,قيد المعالجة,,,نعم
MKC-2023036,2023-04-04,2023-04-29,الشرائع,شكوى مخالفة بناء,شكوى,المركز الموحد 940,مغلق - تم الحل,25.0,5.0,نعم
MKC-2024051,2023-04-04,2023-04-30,الزاهر,ترخيص تجاري,طلب ترخيص,تطبيق بلدي,مقبول ومنفذ,26.0,4.0,نعم
MKC-2023008,2023-04-04,2023-05-22,العزيزية,ترخيص تجاري,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,48.0,3.0,نعم
MKC-2027283,2023-04-04,2023-04-30,الزاهر,ترخيص تجاري,طلب ترخيص,المركز الموحد 940,مقبول ومنفذ,26.0,4.0,نعم
MKC-2025972,2023-04-04,2023-04-13,العزيزية,ترخيص تجاري,طلب ترخيص,المركز الموحد 940,مرفوض,9.0,,نعم
MKC-2026601,2023-04-04,2023-04-11,جرول,شكوى نظافة عامة,شكوى,المركز الموحد 940,مغلق - تم الحل,7.0,4.0,نعم
MKC-2028575,2023-04-04,2023-04-20,العتيبية,شكوى إنارة شوارع,شكوى,مكتب فرعي بالحي,مقبول ومنفذ,16.0,4.0,نعم
MKC-2024673,2023-04-04,2023-04-19,العتيبية,شكوى إنارة شوارع,شكوى,تطبيق بلدي,مغلق - تم الحل,15.0,5.0,نعم
MKC-2028868,2023-04-04,2023-05-21,الششة,شكوى مخالفة بناء,شكوى,المركز الموحد 940,مغلق - تم الحل,47.0,4.0,نعم
MKC-2026787,2023-04-04,2023-05-16,الشوقية,ترخيص تجاري,طلب ترخيص,مكتب خدمة العملاء,مقبول ومنفذ,42.0,3.0,نعم
MKC-2026961,2023-04-04,2023-04-08,بطحاء قريش,شكوى نظافة عامة,شكوى,تطبيق بلدي,مغلق - تم الحل,4.0,4.0,نعم
MKC-2028440,2023-04-04,2023-05-02,جرول,ترخيص لافتات إعلانية,طلب ترخيص,تطبيق بلدي,مغلق - تم الحل,28.0,4.0,نعم
MKC-2023206,2023-04-05,2023-05-20,الزاهر,شكوى مخالفة بناء,شكوى,حساب X (تويتر),مغلق - تم الحل,45.0,3.0,نعم
MKC-2024510,2023-04-05,2023-04-07,الجميزة,شكوى نظافة عامة,شكوى,حساب X (تويتر),مغلق - تم الحل,2.0,2.0,نعم
MKC-2026235,2023-04-05,2023-05-20,الكعكية,طلب صيانة حديقة/ملعب,طلب صيانة,مكتب فرعي بالحي,مغلق - تم الحل,45.0,3.0,نعم
MKC-2025101,2023-04-05,2023-05-06,الزاهر,شكوى مركبات مهملة,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,31.0,4.0,نعم
MKC-2023962,2023-04-05,2023-04-12,النوارية,شكوى باعة متجولين,شكوى,مكتب خدمة العملاء,مغلق - تم الحل,7.0,4.0,نعم
